Local Route,Light Rail,Peak Service,Rapid Route,School,Other
18838,12958,453,25717,5360,0
5744,3581,54,6655,0,36
13162,8636,235,14960,4443,67
6047,3723,82,7129,0,32
2870,5069,0,6956,0,2
8654,5669,212,10697,0,35
12986,6459,209,12772,5319,40
11736,5810,177,11520,5156,46
5439,6396,0,8283,0,0
2624,4212,0,6383,0,18
15510,10639,346,18806,5409,71
2212,4302,0,6208,0,18
2215,4789,0,5996,0,16
13407,8337,226,14799,4397,48
16707,10417,342,19550,5096,68
15907,10702,395,19183,4756,62
16397,11100,1029,19102,4550,81
17352,10585,382,19422,5555,90
2094,5283,0,5204,0,18
3024,1577,57,3682,0,3
2932,4614,0,6026,0,21
17964,11548,468,24134,5602,3
2821,1217,22,2837,0,36
11669,8395,308,14960,0,60
18752,11660,309,21585,5476,99
16343,9710,310,17375,4823,94
2041,3529,0,4583,0,17
17375,10726,337,19327,5100,75
12488,8421,233,14413,3038,43
12288,7427,192,13710,2193,43
2744,4452,0,6776,0,14
2970,4847,0,7236,0,19
13394,10098,188,15472,1654,64
759,1113,0,1356,0,0
16970,9766,330,18261,5474,125
14682,9474,347,16823,4627,43
2229,959,22,2294,0,26
4606,5185,0,6327,0,2
10843,8201,270,14035,0,43
3776,6678,0,8247,0,20
18462,12418,370,24410,5472,0
16569,11912,375,21015,4888,82
17817,11318,364,20230,5814,86
16964,11844,363,20612,5803,80
11306,9133,332,16024,0,64
5375,3985,13,6117,0,32
9307,7546,160,12607,0,50
19619,12257,432,25284,5845,0
2778,1205,29,2729,0,20
20617,12733,485,27552,6853,0
13690,6768,249,13685,5116,40
3230,1786,39,3819,0,1
2428,3154,0,4663,0,12
9291,4575,106,8821,4650,64
2772,4672,0,7003,0,28
18749,12163,385,21933,5793,94
15543,9467,337,17910,4967,78
5362,10710,0,11523,0,26
3205,4629,0,6330,0,18
19049,12391,417,25990,5640,0
3478,5057,0,7041,0,15
3798,5925,0,8036,0,17
17605,11511,271,19880,5560,61
10111,7288,160,12247,1399,45
10210,8151,103,12763,0,54
17380,12626,361,23119,4200,0
14811,10733,253,17504,3629,73
15556,10578,355,18604,4687,90
9018,4463,128,9384,4892,0
2133,3897,0,5351,0,13
16416,11133,397,19592,4878,78
16494,11475,418,20848,4581,87
5506,6583,0,7922,0,0
3059,4355,0,6004,0,28
12993,8862,264,15055,3993,72
8989,7192,217,12152,0,46
3481,5494,0,6976,0,0
10564,7884,197,13303,0,68
2767,4138,0,5742,0,32
14080,9091,207,16697,4651,65
15421,10329,364,18340,5228,49
12969,9599,215,16001,695,59
14148,9183,252,16085,4377,78
16357,10340,357,18935,4791,64
4594,5572,0,7574,0,16
2878,4304,0,5796,0,18
14311,10246,359,17588,4011,87
14754,12048,434,23526,0,0
3064,1708,64,3871,49,0
4930,2240,53,4649,0,21
16324,9909,264,17623,5391,66
18953,12744,340,25010,5738,0
12972,8081,230,14630,3938,53
1325,2312,0,2586,0,1
14029,9022,242,15715,3905,75
13846,11150,325,20012,0,0
6884,4342,105,7925,0,49
10797,5938,158,11319,1939,55
16871,9638,336,18181,5814,84
15948,10009,258,18097,4621,71
3761,4682,0,5936,0,0
7017,5230,139,9859,0,3
12985,7786,261,14379,4274,57
14877,7872,262,17962,5398,0
3197,5557,0,6828,0,10
2811,4740,0,7136,0,19
2479,3985,0,6334,0,15
16478,11316,294,20284,4801,86
9099,6465,153,11136,0,49
16920,9332,304,17909,5813,76
3889,6348,0,8231,0,20
1898,2522,0,3907,0,14
17696,11515,409,23119,4603,0
13412,8458,243,14828,4518,78
